"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"POPULARITY";"PROD_ID";"SF_ID";"SOURCELIBRARY";"VALUE";"VENDOR";
"Q3";"DMG3415U";"MOSFET-P";"SOT23-R";"P-Channel Mosfet";"";"";"";"";"";"";"";"";"";
"Q4";"6.5A/20V/35mΩ";"MOSFET_PCH-NDS8434";"SO08";"P-channel MOSFETs";"";"";"";"";"TRANS-08355";"";"";"6.5A/20V/35mΩ";"";
"Q5";"600mA/40V";"TRANS_NPN-MMBT2222AL";"SOT23-3";"NPN transistor";"";"";"";"";"TRANS-08049";"";"";"600mA/40V";"";
"R1";"10";"10OHM-0603-1/10W-1%";"0603";"10Ω resistor";"";"";"";"";"RES-12581";"";"";"10";"";
"R2";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";
"R3";"0.005";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R4";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"RES-08296";"";"";"2.0k";"";
"R5";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";
"R6";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";
"R7";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"";"";"";"RES-07856";"";"";"1k";"";
"R8";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R9";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"10k";"";
"R10";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"10k";"";
"R11";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"RES-00824";"";"";"10k";"";
"R12";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"";"";"";"RES-07828";"";"";"100k";"";
"R13";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R14";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R15";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R16";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"RES-07871";"";"";"47k";"";
"R17";"1M";"1MOHM-0603-1/4W-5%";"0603";"1MΩ resistor";"";"";"";"";"RES-07868";"";"";"1M";"";
"R18";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"";"";"";"RES-07857";"";"";"4.7k";"";
"R19";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R20";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R21";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"RES-07871";"";"";"47k";"";
"R22";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R23";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R24";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"RES-07871";"";"";"47k";"";
"R25";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R26";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R27";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"RES-07871";"";"";"47k";"";
"R28";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R29";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R30";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"RES-07871";"";"";"47k";"";
"R31";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R32";"0.1";"RESISTOR1206";"1206";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R33";"47k";"47KOHM-0603-1/10W-1%";"0603";"47kΩ resistor";"";"";"";"";"RES-07871";"";"";"47k";"";
"R34";"CB61F";"CB61F";"CB61F";"";"";"";"";"";"";"";"";"";"";
"R35";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R36";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R37";" ";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"";" ";"";"";" ";"";
"R38";"4.7k";"1MOHM-0603-1/4W-5%";"0603";"1MΩ resistor";"";"";"";"";"RES-07868";"";"";"1M";"";
"S1";"EVQPUJ02K";"EVQPUJ02K";"EVQPUJ02K";"";"";"";"";"";"";"";"";"";"";
"TP1";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP2";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP3";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP4";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP5";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP6";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP7";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP8";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP9";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP10";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP11";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP12";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP13";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP14";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP15";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP16";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP17";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP18";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP19";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP20";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP21";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP22";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP23";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP24";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP25";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP26";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP27";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP28";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP29";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP30";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP31";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP32";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP33";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP34";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP35";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP36";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP37";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP38";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"TP39";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";
"U1";"PARTICLE_RGB-LED-CLMVB-FKARGB";"PARTICLE_RGB-LED-CLMVB-FKARGB";"PARTICLE_PLCC4-2MM-RGB";"CREE CLMVB-FKA RGB LED 2mm x 2mm";"";"";"";"";"";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";"";
"U3";"";"MICROBUILDER_MCP73831/2";"MICROBUILDER_SOT23-5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"";"";"";
"U4";"MAX17201G+";"MAX17201G+";"21-0137I_T1433-1_MXM";"";"UL_Team_Molly";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"MAX17201G+";"";"";"";"Maxim_2018-10-24";"";"Maxim Integrated Products";
"U5";"SX1509";"SX1509";"QFN-28";"Semtech SX1509";"";"";"";"";"IC-11311";"";"";"SX1509";"";
"U7";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";"";"";"";"";"";"";"";
"U9";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"";"";"";"";"";"";"";"";"";"";
